subfolder_name,step_nr,log_time,eval_return
alien,10000,2025-03-05 09:55:50.027056,249.89999389648438
alien,20000,2025-03-05 10:48:21.725565,100.0
alien,30000,2025-03-05 11:42:53.255577,30.0
alien,40000,2025-03-05 12:38:36.225207,140.0
alien,50000,2025-03-05 13:36:49.379685,302.0
alien,60000,2025-03-05 14:31:12.974879,410.1000061035156
alien,70000,2025-03-05 15:26:01.194416,429.6000061035156
alien,80000,2025-03-05 16:20:43.428595,422.29998779296875
alien,90000,2025-03-05 17:15:29.870544,422.29998779296875
alien,100000,2025-03-05 18:10:43.815968,424.3999938964844
alien,110000,2025-03-05 19:04:23.417868,418.20001220703125
alien,120000,2025-03-05 19:58:35.517770,457.29998779296875
alien,130000,2025-03-05 20:51:42.030324,474.70001220703125
alien,140000,2025-03-05 21:45:04.884263,502.5
alien,150000,2025-03-05 22:39:23.589756,524.5
alien,160000,2025-03-05 23:33:35.974793,513.0999755859375
alien,170000,2025-03-06 00:26:46.639223,537.7000122070312
alien,180000,2025-03-06 01:19:01.209128,559.5999755859375
alien,190000,2025-03-06 02:10:36.163609,562.4000244140625
alien,200000,2025-03-06 03:01:33.669720,535.5
alien,210000,2025-03-06 03:52:56.966293,580.7999877929688
alien,220000,2025-03-06 04:43:48.756923,572.5999755859375
alien,230000,2025-03-06 05:36:30.166235,576.9000244140625
alien,240000,2025-03-06 06:29:57.537169,601.7999877929688
alien,250000,2025-03-06 07:22:36.572696,583.9000244140625
alien,260000,2025-03-06 08:13:38.050119,579.2000122070312
alien,270000,2025-03-06 09:05:03.339236,584.9000244140625
alien,280000,2025-03-06 09:56:04.603700,699.2000122070312
alien,290000,2025-03-06 10:45:47.825355,610.7999877929688
alien,300000,2025-03-06 11:34:20.455064,591.7999877929688
alien,310000,2025-03-06 12:25:15.567994,643.2999877929688
alien,320000,2025-03-06 13:16:57.711225,651.7000122070312
alien,330000,2025-03-06 14:08:48.637475,677.9000244140625
alien,340000,2025-03-06 14:58:38.689959,636.5999755859375
alien,350000,2025-03-06 15:48:38.586416,655.5
alien,360000,2025-03-06 16:39:11.691067,624.0999755859375
alien,370000,2025-03-06 17:30:29.357633,625.0999755859375
alien,380000,2025-03-06 18:22:06.116555,617.9000244140625
alien,390000,2025-03-06 19:14:56.683471,613.5999755859375
alien,400000,2025-03-06 20:07:43.284897,605.5999755859375
amidar,10000,2025-03-05 09:49:31.736614,2.7100000381469727
amidar,20000,2025-03-05 10:50:22.769459,44.540000915527344
amidar,30000,2025-03-05 11:46:30.254625,51.36000061035156
amidar,40000,2025-03-05 12:43:01.996703,35.0
amidar,50000,2025-03-05 13:39:47.797796,48.0
amidar,60000,2025-03-05 14:32:06.047837,48.0
amidar,70000,2025-03-05 15:26:10.127253,48.0
amidar,80000,2025-03-05 16:18:53.816554,48.0
amidar,90000,2025-03-05 17:12:55.250500,48.0
amidar,100000,2025-03-05 18:07:44.780878,48.0
amidar,110000,2025-03-05 19:01:49.643289,48.400001525878906
amidar,120000,2025-03-05 19:55:57.368807,47.9900016784668
amidar,130000,2025-03-05 20:50:14.030581,47.810001373291016
amidar,140000,2025-03-05 21:42:45.414116,47.560001373291016
amidar,150000,2025-03-05 22:35:03.081409,47.279998779296875
amidar,160000,2025-03-05 23:27:37.661740,47.779998779296875
amidar,170000,2025-03-06 00:21:10.110728,48.0
amidar,180000,2025-03-06 01:15:32.753981,48.0
amidar,190000,2025-03-06 02:09:58.856957,49.0099983215332
amidar,200000,2025-03-06 03:05:55.613912,55.41999816894531
amidar,210000,2025-03-06 04:00:38.992674,57.59000015258789
amidar,220000,2025-03-06 04:56:58.376530,59.470001220703125
amidar,230000,2025-03-06 05:53:46.499315,65.30000305175781
amidar,240000,2025-03-06 06:51:05.914749,79.87000274658203
amidar,250000,2025-03-06 07:47:51.041137,64.19999694824219
amidar,260000,2025-03-06 08:45:10.952108,80.7699966430664
amidar,270000,2025-03-06 09:44:36.287590,117.88999938964844
amidar,280000,2025-03-06 10:41:03.294388,81.58999633789062
amidar,290000,2025-03-06 11:37:24.319545,101.75
amidar,300000,2025-03-06 12:30:26.869437,76.4800033569336
amidar,310000,2025-03-06 13:23:24.147056,82.55999755859375
amidar,320000,2025-03-06 14:21:26.153120,93.12999725341797
amidar,330000,2025-03-06 15:20:04.445560,134.07000732421875
amidar,340000,2025-03-06 16:19:15.744164,143.4600067138672
amidar,350000,2025-03-06 17:20:26.565415,150.74000549316406
amidar,360000,2025-03-06 18:21:27.773216,156.30999755859375
amidar,370000,2025-03-06 19:18:42.029336,149.19000244140625
amidar,380000,2025-03-06 20:17:10.133633,148.77999877929688
amidar,390000,2025-03-06 21:14:49.734923,146.8000030517578
amidar,400000,2025-03-06 22:04:06.650256,159.5399932861328
assault,10000,2025-03-05 09:53:25.009416,164.63999938964844
assault,20000,2025-03-05 11:05:58.938282,630.8400268554688
assault,30000,2025-03-05 12:03:46.580815,554.9600219726562
assault,40000,2025-03-05 12:59:46.397884,557.1799926757812
assault,50000,2025-03-05 13:57:39.194927,464.45001220703125
assault,60000,2025-03-05 14:50:22.183463,504.94000244140625
assault,70000,2025-03-05 15:42:16.720153,492.6499938964844
assault,80000,2025-03-05 16:32:40.719004,551.010009765625
assault,90000,2025-03-05 17:19:31.954183,566.1500244140625
assault,100000,2025-03-05 18:04:45.707515,558.22998046875
assault,110000,2025-03-05 18:50:04.568788,528.4199829101562
assault,120000,2025-03-05 19:36:19.095168,535.3099975585938
assault,130000,2025-03-05 20:21:04.781975,537.3200073242188
assault,140000,2025-03-05 21:08:22.049314,578.6400146484375
assault,150000,2025-03-05 21:51:47.413057,551.8400268554688
assault,160000,2025-03-05 22:36:19.156227,568.969970703125
assault,170000,2025-03-05 23:20:19.840883,567.3900146484375
